"id";"text";"TAR";"predicted_label";"tokens";"pos_tags"
"1064396393598783";"Oliver -- ich Guck mindestens Woche RT2EWS .";"individual";"";"";""
"1065824423455980";"ich hoffentlich abschließend Brandbericht spannen anschließend Erklärung obiger Politik -- Presse -- Rundfunk -- Fernsehen sogenannter Promi -- glauben Täter Brand ausmachen äußerer Beschädigung Gebäude -- Dachstuhl brennen gleichzeitig eventuell Brandwand hinaus . wer fast 10 Meter Wurf -- Stelle Brand beginnen gezielt Brandsatz Öffnung werfen Versicherungsbetrug Versuch beispiellos Hetze Sachsen AfD Pegida anzuzetteln . technisch Schaden ausschließen wovon schauen wir mal alle Reaktion es primitiv Hetze jeglicher Beweis .";"public";"";"";""
"1065801100124979";"[@LINK]";"public";"public";"";""
"1064411476930608";"Sabine Zimmermann . der omega . logisch sagen sie es brennen sie es böse böse Anhängen euankömmling Scheiße bauen versuchen Mäntelchen Verschwiegenheit decken ihr momentan zeigen naiv sie .";"individual";"";"";""
"1065837533454669";"herrschend Politiker bedürfen achhilfeunterricht Sache Demokratie .";"public";"";"";""
"1064883423550080";"Silvia öle . wir brauchen etwas Weg .";"individual";"";"";""
"1064352826936473";"einer es Brandstiftung ich Versicherungsbetrug denken EER .";"public";"";"";""
"1066462483392174";"devise lauten Zone zuschießen .";"public";"";"";""
"1069126653125757";"m übrig ich Post antworten verschwinden .. linker Seite Meinung Fake Ungebildete ändern mal schwesterchen Rock greifen möchten .";"public";"";"";""
"1069116643126758";"der betrunken .";"public";"";"";""
"1065822346789521";"ich denken mal -- der sich wachsen Gehirnwäsch politisch Propaganda bombardieren lassen wir sich fallen .";"group";"";"";""
"1065867473451675";"übrig fallen mir liegen Schwester ervenzusammenbruch -- sie ihr Mann schlagen sie unfair angeblich schlagen .";"public";"";"";""
"1064380220267067";"der sein .";"public";"";"";""
"1064442286927527";"Rafael Prien . verpiss vergess Großleinschreibung vernachlässigen ich mal .";"individual";"";"";""
"1064358353602587";"Jitka Zajícová Herzlich willkommen .";"individual";"";"";""
"1064548636916892";"Sachsen Deutschland Deutschland Sachsen .";"public";"";"";""
"1065842083454214";"Haus bombardieren Haus brennen . Flüchtling bleiben .";"public";"";"";""
"1065868516784904";"GutmenschenHirnverneblersprüche.naja fallen niemand drauf rein . billigst gekauft Altparteienknecht entstehen .";"public";"";"";""
"1064356010269488";"Deutsch frei ärzgebirg . .";"public";"";"";""
"1069076336464122";"Volker back . merken weniger . alt schwede .";"individual";"";"";""
"1069221583116264";"Peter Freienhagen -- du vollkommen . ich glauben vergeben Iebesmüh . Jugend alle A. vorbei . der Wert vermitteln bekommen wir erwachsene Vorbild sich jung Mensch orientieren wir alle mächtig versauen .";"individual";"";"";""
"1065801773458245";"Altpartei Antifa bauen uns neu Deutschland -- samt Zensur Volk .";"public";"";"";""
"1065882156783540";"ich weisen laut Bellender Marinrichter Filziger Warten kopieren Jagend Schimpfe alt lernen .";"group";"";"";""
